property_type,sector,bedRoom,bathroom,balcony,agePossession,floor_num,total_floors,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,sector 65,2.0,2.0,3.0,Under Construction,35.0,35.0,1260.99,0,0,1,Medium,Low Floor,2.33
flat,sector 65,3.0,3.0,3.0,New Property,26.0,47.0,1828.03,0,0,0,Low,Low Floor,2.79
flat,sector 41,4.0,4.0,3.0,Old Property,0.0,1.0,2900.01,0,0,0,Low,Low Floor,3.4
flat,sector 12,2.0,2.0,1.0,Moderately Old,2.0,4.0,1288.0,0,0,1,Low,Low Floor,0.72
flat,sector 104,2.0,2.0,1.0,Moderately Old,4.0,14.0,568.44,0,0,0,Medium,Low Floor,0.4
flat,sector 95,2.0,2.0,2.0,Moderately Old,10.0,17.0,1364.0,0,0,1,Medium,Low Floor,0.56
flat,sector 71,3.0,3.0,3.0,Moderately Old,11.0,14.0,1619.97,0,0,0,Medium,Low Floor,1.1
flat,sector 37d,2.0,2.0,3.0,New Property,10.0,22.0,1309.97,0,0,0,Medium,Low Floor,0.71
flat,sector 79,2.0,2.0,3.0,New Property,0.0,24.0,1295.0,0,0,0,High,Low Floor,0.78
flat,sector 37c,2.0,2.0,3.0,Under Construction,3.0,12.0,885.0,0,0,0,Medium,Low Floor,0.4
flat,sector 113,3.0,2.0,2.0,New Property,7.0,25.0,1578.96,0,0,0,Low,Low Floor,1.85
flat,sector 102,2.0,2.0,1.0,Under Construction,8.0,14.0,902.98,0,0,0,High,Low Floor,1.1
flat,sector 61,2.0,2.0,2.0,Under Construction,2.0,4.0,1150.02,0,0,0,High,Low Floor,1.41
flat,sector 79,3.0,3.0,3.0,Moderately Old,3.0,18.0,2531.0,0,0,0,Low,Low Floor,1.45
flat,sector 61,3.0,3.0,2.0,Under Construction,1.0,4.0,2082.0,0,0,0,Medium,Low Floor,2.2
flat,sector 33,2.0,2.0,3.0,Moderately Old,9.0,14.0,1109.97,0,0,1,Medium,Low Floor,1.1
flat,sector 102,3.0,4.0,3.0,Moderately Old,14.0,15.0,2635.0,1,0,0,High,Low Floor,2.05
flat,sector 92,3.0,2.0,3.0,Moderately Old,4.0,4.0,1561.0,0,0,1,Medium,Low Floor,0.6
flat,sector 89,2.0,3.0,3.0,Under Construction,8.0,25.0,1660.01,0,0,0,Medium,Low Floor,0.8
flat,sector 84,2.0,2.0,2.0,New Property,10.0,14.0,582.97,0,0,1,Low,Low Floor,0.41
flat,sector 73,3.0,3.0,3.0,Under Construction,3.0,14.0,1622.01,1,0,0,Medium,Low Floor,0.9
flat,sector 7,2.0,2.0,1.0,Moderately Old,3.0,4.0,1171.0,0,0,0,Medium,Low Floor,0.54
flat,sector 36 sohna,3.0,2.0,2.0,New Property,2.0,4.0,1081.02,0,0,0,Low,Low Floor,0.82
